challenge_name,overall_federal_agency,organization,category,date_announced,submission_close_date,judging_open_date,judging_close_date,public_voting_open_date,public_voting_close_date,winner_announcement_date,time_from_announcement_to_submission_close,time_from_submission_close_to_judging,time_for_judging,time_for_public_voting,time_from_judging_to_winner_announcement,total_prize_purse,grand_prize_winner,finalist_prize,number_of_finalists,other_prizes,about,judges,judging_criteria,type_of_competition,output,prize_type,
Recipes for Healthy Kids,Department of Agriculture,Department of Agriculture,Education,9/7/2010,12/30/2010,1/1/2011,5/31/11,3/9/2011,5/31/2011,7/25/2011,114,2,150,83,55,"$12,000","$3,000","$9,000",8,,"Let's Move!, in association with the U.S. Department of Agriculture (USDA), is challenging school nutrition professionals, chefs, students, parents and interested community members to create tasty, healthy, exciting new recipes for inclusion on school lunch menus across the country.

Participants will form teams, develop, document, and prepare at least one healthy recipe in one of three categories (Whole Grains, Dark Green and Orange vegetables, or Dry Beans and Peas). Their creations will be served in the school's cafeteria, and rated by students. Fifteen semi-finalist teams will have their recipe evaluated by our judging panel during events held at their school, and the top three teams will compete in a cook-off at the 2011 American Culinary Federation National Convention to determine the grand prize winner! Semi-finalists' recipes will also be posted for online voting by the public to determine a Popular Choice Winner. Winning teams will be invited to prepare their nutrition-packed meals alongside White House chefs.",A panel of expert judges,"Student Involvement
Nutrition
Creativity and Originality
Ease of Use in Schools
Recipe Presentation",5-Recipes,5-Recipes,Exposition,
Ending Childhood Hunger Video Contest,Department of Agriculture,U.S. Department of Agriculture,Health,9/15/2011,12/15/2011,1/2/2012,1/20/2012,1/23/2012,2/17/2012,2/24/2012,91,18,18,25,35,$0,$0,$0,6,"Twelve (12) finalists (“Finalists”) will be selected by a panel of judges based on the judging criteria. The public will vote on the Finalists to determine the top two (2) winners in each of three (3) school categories: elementary school, middle school/junior high school, and high school. Each of the winners (or winning teams, collectively “Winners”) will be promoted through various distribution channels including the FNS website, the USDA blog, local and national press releases, Facebook, Twitter, a national webinar, and the FNS Outreach Coalition annual meeting. ","Get your video cameras ready to help end hunger!  The USDA Food and Nutrition Service (FNS) wants you to participate in the Ending Childhood Hunger Video Contest.  We invite elementary, middle/junior high, and high school students to participate in the video contest (the ""Contest""), which asks the question, ""What are you doing to end childhood hunger in your community?""

USDA FNS is accepting student-created videos of two minutes or less that show current activities or innovative ideas that tackle the problem of childhood hunger.  Your videos will serve to inspire other students across the country to take action on this important issue.    ",U.S. Department of Agriculture (USDA),"The judges will select the twelve (12) finalists that will go to the Public Vote based on the following criteria:
Potential to Impact Target Audience
Potential to impact the target audience: 
1) Video Submissions should be educational, inspiring, and memorable. 2) Video Submissions should be useable by Sponsor in its outreach activities. 3) Video Submissions should be easy for Sponsor to use in both
Creativity and Originality
Creativity and Originality: 1) Video Submissions should use creative and original methods and approaches to convey the message. 2) Video Submissions should demonstrate creative ways that students are tackling the problem of childhood hunger or an innovati
Clarity and Quality of Message
Clarity and Quality of Message: 1) Video Submissions should clearly demonstrate activities that students are taking part in or ideas they have to help end childhood hunger in their school or community. 2) The flow of Video Submissions should be logical an
Production Quality
Production Quality: 1) Audio quality – dialogue should be easy to understand. 2) Visual quality – visual effects should contribute rather than detract from the underlying message. 3) Editing should be smooth and coherent.
*Tie-Breaking Decision
In the event of a tie for selection of the twelve (12) Finalists, the Finalists will be selected based on the judging criteria in this order: potential to impact the target audience, then creativity and originality, then clarity and quality of message, an",4,4,Participation,
"Food, Fun, and Sun - Story and Photo Challenge!",Department of Agriculture,U.S. Department of Agriculture,Health,7/20/2011,8/20/2011,8/21/2011,9/29/2011,Public Vote on USDA website after winners announced.,,9/30/2011,31,1,39,,1,$0,$0,$0,N/A,,"The Summer Food Service Program (“SFSP”) is an integral part of our nation’s hunger safety-net and an important tool in our work toward ending childhood hunger in America. To help us reach this goal, we are looking for examples of SFSP Sponsors and Sites that are doing a great job to feed children and teens this summer. We want to find the great examples of successful programs so that we can let SFSP Sponsors and Sites all over the country know what works best.

We are looking for bold, creative, and exciting stories (200-400 words) and pictures, two (2) pictures per submission, which explain successful SFSP operations.  The SFSP can be a very effective tool in fighting childhood hunger during the summer months. We are collecting contest submissions to help share successful programs and raise awareness. This contest will serve as a mechanism to collect promising practices in four areas of particular interest including: working with volunteers, operating successful programs in reaching older children (12-18), programs in rural areas, and creative ideas in the SFSP.",N/A,N/A,2,1,Participation,
USPTO Patents For Humanity,Department of Commerce,The United States Patent and Trademark Office,Education,3/1/2012,8/31/2012,9/1/2012,12/31/2012,,,N/A,183,1,121,0,,$0,$0,$0,N/A,Winners will receive a certificate to accelerate a select matter before the USPTO and public recognition at an awards ceremony. See the Rules section for more information.,"For over two centuries, strong patents have provided business incentives that encourage technological progress to build our modern world.  As we struggle against humanitarian issues plaguing many of the world's poor, patents play an essential role in creating lasting solutions.

Patents For Humanity is the USPTO's voluntary prize competition for patent owners and licensees.  The pilot program encourages businesses of all kinds to apply their patented technology to addressing the world's humanitarian challenges.  As an incentive, winners will receive a certificate for expedited processing of certain matters before the USPTO.

Participants will submit applications describing how they have addressed humanitarian needs with their patented technology.  Judging will be performed by researchers from academia and Federal labs donating their time.  Up to 50 winners will be chosen in the pilot year, with winners receiving a certificate for accelerated processing at the USPTO.

Applications will compete in four categories of global issues:

Medical Technology
Food & Nutrition
Clean Technology
Information Technology
Eligible technologies may include life-saving medicines and vaccines, medical diagnostic equipment, more nutritious or heartier crops, food storage & preservation technology, water sterilization devices, cleaner sources of household light and heat, or information devices promoting literacy and education, among others.

The program is open to all types of organizations.  Universities and small businesses are at the forefront of humanitarian endeavors, pioneering innovative new ways to reach people in need.  Patents for Humanity seeks to recognize the important contributions made by a diverse range of organizations.",N/A,"Humanitarian use – applicants must demonstrate:

i)      Subject matter – the applicants’ technology that is claimed in a U.S. utility patent in force at the time or a pending U.S. utility patent application effectively addresses a recognized humanitarian issue;

ii)    Target Population – the actions described in the award application target an impoverished population affected by the humanitarian issue; and

iii)  Demonstrated Impact – the applicants’ actions have significantly increased application of the technology that benefits the impoverished population by addressing the humanitarian issue.

Humanitarian research – applicants must demonstrate:

i)      Research Impact – the applicants’ technology that is claimed in a U.S. utility patent in force at the time or  a pending U.S. utility patent application  has made a significant contribution to substantial research conducted by others which clearly targets a humanitarian issue;

ii)    Neglected Field – the research by others occurs in an area lacking significant commercial application; and

iii)  Contribution– the applicants took significant action to make the technology available to the other researchers.",5-Patant Applications,5-Patents for innovative technology,Exemplar,
Commerce Business Apps Challenge,Department of Commerce,U.S. Department of Commerce,Jobs,2/22/2012,4/30/2012,5/1/2012,5/21/2012,,,5/31/2012,68,1,20,0,10,"$10,000","$5,000","$5,000",3,,"﻿A key mission of both the Department of Commerce (DOC) and the newly-launched BusinessUSA initiative (www.Business.USA.gov) is to help U.S. businesses grow and create jobs.  We’re looking for innovative ways to utilize DOC and other federal and publicly accessible data and program information to help businesses:

Learn about and evaluate opportunities, both here in the U.S. and internationally;
Access useful government services, data, and market information; 
Fund business activities;
Support education and training, and
Facilitate or accelerate the pursuit of operating and growing their business. 
The challenge is to utilize at least one DOC data set in creating an application that assists businesses and/or improves the service delivery of Business.USA.gov to the business community.","John Bryson
Secretary of Commerce


Steven Van Roekel
Chief Information Officer of the United States


Sheryl Sandberg
Chief Operating Officer, Facebook


Vint Cerf
Chief Internet Evangelist, Google


Tim O’Reilly
Founder and CEO, O'Reilly Media


Vivek Kundra
Executive Vice President of Emerging Market, Salesforce.com","Use of DOC Data (20%)
Does the application use a novel combination of relevant data sets, including at least one dataset from one of Commerce’s bureaus?
Usability and Interface Design (20%)
Is the application implemented in a functional and elegant fashion?
Relevance to Stated Objective (40%)
Does the application meet the mission defined for this challenge?
Creativity (20%)
Is the application and concept creative and interesting?",1 and 3,2 and 3 ,Exposition,
USPTO Patents For Humanity,Department of Commerce,United States Patent and Trademark Office,Science & Technology,3/1/2012,8/31/2012,9/1/2012,12/31/2012,,,TBA,183,1,121,N/A,N/A,N/A,N/A,N/A,TBA,USPTO Humanitarian Award - certificate to accelerate a select matter before the USPTO and public recognition at awards ceremony,"For over two centuries, strong patents have provided business incentives that encourage technological progress to build our modern world.  As we struggle against humanitarian issues plaguing many of the world's poor, patents play an essential role in creating lasting solutions. Patents For Humanity is the USPTO's voluntary prize competition for patent owners and licensees.  The pilot program encourages businesses of all kinds to apply their patented technology to addressing the world's humanitarian challenges.  As an incentive, winners will receive a certificate for expedited processing of certain matters before the USPTO. Participants will submit applications describing how they have addressed humanitarian needs with their patented technology.  Judging will be performed by researchers from academia and Federal labs donating their time.  Up to 50 winners will be chosen in the pilot year, with winners receiving a certificate for accelerated processing at the USPTO.",Researchers from academia and Federal labs,Each application will be reviewed by three judges working independently.  Judges will be chosen from academia.  Each judge will fill out a review form rating the application on the competition criteria. A selection committee of Federal employees from various agencies and laboratories will recommend up to 50 winners based on the judges' reviews.  USPTO will make final awards based on the recommended list at an awards ceremony honoring the recipients.,2,1,Exemplar,
Fast Rope Glove Device,Department of Defense,Air Force,Science & Technology,10/17/2011,12/16/2011,12/17/2011,1/12/2012,,,1/13/2012,6,1,26,N/A,1,"$15,000",N/A,N/A,N/A,,"A FAST rope is used by Military personnel to descend quickly from a 
helicopter in hostile situations. The FAST rope is about 2” thick, 50-to-90-feet 
long, and several operators may be on the rope at the same time.

The Seeker would like to develop a simple system or approach that can be 
employed with or as a FAST rope to maintain a fast but safe descent rate of a 
300 – 400 lb (man and equipment) without heating or burning the hands of the 
user, either in conjunction with existing gloves and ropes, or as a replacement 
to existing components.

To receive an award, the Solvers will not have to transfer their exclusive IP 
rights to the Seeker, instead, they will grant to the Seeker non-exclusive 
license to practice their solutions.",N/A,Requires only a written proposal to be submitted.  The Challenge award will be contingent upon theoretical evaluation of the proposal by the Seeker.,1,5 - an output could be a system or just an approach to solve the problem,Point Solution,
Special Operations Transport,Department of Defense,Air Force,Science & Technology,9/13/2011,11/14/2011,11/15/2011,12/15/2011,,,12/16/2011,62,1,3,N/A,1,"$25,000",N/A,N/A,N/A,,"A design is sought for a system that can transport two people and their equipment between two arbitrary points separated by rugged terrain, at night, in such a manner that they are not likely to be observed by unaided people on the ground between the two points. 

The Seeker anticipates that successful Solvers may be invited into contractual engagements with the Air Force Research Laboratory (AFRL) to develop their transport system designs.

Desired performance specifications are included in the challenge description. ",N/A,"A design is required for a prototype transport system that can carry 2 passengers a distance of more than 60 kilometers over extremely rugged terrain at night. The mode of transportation is completely open, however, the system must comply with detailed specifications and provided services as described in the challenge description. Key features of the desired transport system are that it should be quiet and unobtrusive and should not require extensive training or focused attention on the part of the passengers. ",1,5 - a system to solve the problem,Point Solution,
Creating a Collaborative Nano-Bio Manufacturing Institute,Department of Defense,Air Force,Science & Technology,8/30/2011,9/30/2011,10/1/2011,10/13/2011,,,10/14/2011,31,1,12,0,1,"$10,000",N/A,N/A,N/A,,"This Challenge is an opportunity to shape the founding of an AFRL institute for Nano-Bio Manufacturing (NBMI) adjacent to Wright-Patterson Air Force Base in Dayton, Ohio, USA. The NBMI is intended to be a consortium of entities from Government, Academia & Industry that provide a range of capabilities and resources. NBMI will provide a flexible laboratory configuration with single-site integration of nano-particle and bio-macromolecule synthesis, ink formulation and pilot-scale non-lithographic patterning to conduct rapid (3-9 month), multi-partner development projects via an open architecture manufacturing framework. 

A clear concept is required that is based on analysis of similar or parallel business models, either theoretical or validated. The concept must clearly detail value propositions for each of the consortium participant groups and stakeholders: integrators, material suppliers, biotechnology firms, small business, federal agencies, local community, and academia. 

The Seekers intention is that a small number of winning Solvers will be invited to compete for a larger award as part of an exclusive InnoCentive challenge to develop their business concepts into detailed business plans. The Seeker is particularly interested in Solvers from first-tier Business Schools with strong entrepreneurial programs (e.g. Univ. Chicago, Univ. Michigan, Rice, Stanford, Northwestern, Harvard/MIT, Cornell). In addition, solvers who have deep insight or experience in collaborative business models or nano- and bio-technology spheres are welcomed. More information is available in the detailed challenge description. ",N/A,"Ideation™ Challenge submissions are typically about two written pages, and Seekers receive a non-exclusive, perpetual license to use all submissions.",5 - developing business plans for nano-bio initiatves,5 - business plan or business ideas,Point Solution,
DC3 Digital Forensics Challenge,Department of Defense,Air Force,Science & Technology,12/15/2011,10/2/2012,10/3/2012,12/2/2012,,,12/3/2012,292,1,6,N/A,1,N/A,N/A,N/A,N/A,,"The DC3 Digital Forensics Challenge (DC3 Challenge) is a public, online, and international challenge held annually by the Department of Defense (DoD) Cyber Crime Center (DC3).  The DC3 Challenge is a call to the digital forensics community to pioneer new investigative tools, techniques, and methodologies. It encourages innovation from a broad range of individuals, teams, and institutions to provide technical solutions for computer forensic examiners in the lab as well as in the field.  Supported under 10 U.S.C. § 2374 as a STEM initiative, the DC3 Challenge is one of DC3’s initiatives to advance the digital forensic community by:

Addressing the shortage of cyber professionals
Strengthening professional standards
﻿Establishing relationships within the Digital Forensics Community
Resolving issues facing the Digital Forensics Community
Developing new tools, techniques, and methodologies for the Digital Forensic Community",N/A,N/A,1,1,Point Solution,
Creating a Collaborative Nano-Bio Manufacturing Institute,Department of Defense,Air Force,Economy,8/30/2011,9/30/2011,10/1/2011,10/13/2011,,,10/14/2011,31,1,12,0,1,"$10,000",N/A,"$2,000",N/A,,"This Challenge is an opportunity to shape the founding of an AFRL institute for Nano-Bio Manufacturing (NBMI) adjacent to Wright Phillips Air Force Base in Dayton, Ohio, USA. The NBMI is intended to be a consortium of entities from Government, Academia & Industry that provide a range of capabilities and resources. NBMI will provide a flexible laboratory configuration with single-site integration of nano-particle and bio-macromolecule synthesis, ink formulation and pilot-scale non-lithographic patterning to conduct rapid (3-9 month), multi-partner development projects via an open architecture manufacturing framework.

A clear concept is required that is based on analysis of similar or parallel business models, either theoretical or validated. The concept must clearly detail value propositions for each of the consortium participant groups and stakeholders: integrators, material suppliers, biotechnology firms, small business, federal agencies, local community, and academia.

The Seekers intention is that a small number of winning Solvers will be invited to compete for a larger award as part of an exclusive InnoCentive challenge to develop their business concepts into detailed business plans. The Seeker is particularly interested in Solvers from first-tier Business Schools with strong entrepreneurial programs (e.g. Univ. Chicago, Univ. Michigan, Rice, Stanford, Northwestern, Harvard/MIT, Cornell). In addition, solvers who have deep insight or experience in collaborative business models or nano- and bio-technology spheres are welcomed. More information is available in the detailed challenge description.

There is a guaranteed award.  The awards will be paid to the best submission(s) as solely determined by the Seeker. The total payout will be $10,000, with no award being smaller than $2,000. ",N/A,N/A,1 or 5-engineering of concept,1,Point Solution,
Fuel Scrubber,Department of Defense,Air Force,Energy & Environment,1/12/2012,3/12/2012,3/13/2012,4/19/2012,,,4/20/2012,60,1,37,0,1,"$20,000","$20,000",$0,1,,"Rapid recovery of fuel contaminated by environmental material, water or fire 
fighting surfactants is key to ensuring the availability of field vehicles in 
crisis situations. Specifically, the Seeker requires proposals describing 
technologies that are suitable for purification of hydrocarbon fuels from 
surfactants and surfactant/water/fuel emulsions. Fractionation or distillation 
is not an option.",N/A,"Proposals describing 
technologies that are suitable for purification of hydrocarbon fuels from 
surfactants and surfactant/water/fuel emulsions. Fractionation or distillation 
is not an option.",5-engineering a product design proposal,1,Point Solution,
Medical Transportation Device for Combat Rescue,Department of Defense, Air Force,Personal and Public Safety,12/28/2011,2/29/2012,3/1/2012,3/29/2012,,,3/30/2012,63,1,28,0,1,"$15,000","$15,000",$0,1,,"This Challenge is seeking innovative designs for a transportation device that 
can be carried into a combat site by a single rescuer, quickly unpacked to load 
an injured or deceased person, and used to safely evacuate the injured or 
deceased person away from the combat zone and into a helicopter.

The current design is a collapsible medical stretcher that uses straps to 
secure the patient, but straps are too slow to deploy in the field.  Any design 
is acceptable as long as it meets all requirements; detailed Technical 
Requirements are available in the full description.  Key improvements over 
existing systems are: quick/simple loading of an injured person, ease for a 
single rescuer (on foot) to safely transport the injured person across difficult 
terrain, ability to support/stabilize the body’s vital functions, and overall 
elegance/simplicity of the design.  The Seeker expects to prototype winning 
designs; successful Solvers may be invited to engage in the design/prototyping 
process",N/A,N/A,5-Vehicle Designs ,5-prototype winning designs,Point Solution,
